u_mps,v_mps,w_mps,p_rps,q_rps,r_rps,phi_rad,theta_rad,psi_rad,p1_n_m,p2_n_m,p3_n_m
-2.2310449034,1.3877304905,7.7823756245,0.0883536969,0.3823106153,0.4946431618,0.1764623558,0.2750728662,0.4577755021,-0.0323567965,-0.0033742391,-9142.8916113519
-2.2807045849,1.4223840707,7.8651064300,0.0873028610,0.3823142143,0.4943392420,0.1789136254,0.2779617712,0.4635371864,-0.0342773401,-0.0035973107,-9142.8089830772
-2.3307828172,1.4574801409,7.9475139086,0.0862526474,0.3823088091,0.4940365826,0.1813728406,0.2808375930,0.4693078672,-0.0362861822,-0.0038316288,-9142.7253769523
-2.3812741886,1.4930187017,8.0295959870,0.0852030958,0.3822944175,0.4937351878,0.1838399795,0.2837001942,0.4750875730,-0.0383861851,-0.0040775598,-9142.6407929773
-2.4321732492,1.5289997317,8.1113506507,0.0841542454,0.3822710577,0.4934350617,0.1863150190,0.2865494377,0.4808763303,-0.0405802621,-0.0043354720,-9142.5552311521
-2.4834745124,1.5654231884,8.1927759447,0.0831061358,0.3822387483,0.4931362080,0.1887979349,0.2893851865,0.4866741639,-0.0428713776,-0.0046057360,-9142.4686914767
-2.5351724548,1.6022890077,8.2738699737,0.0820588060,0.3821975084,0.4928386304,0.1912887024,0.2922073042,0.4924810969,-0.0452625472,-0.0048887235,-9142.3811739511
-2.5872615173,1.6395971047,8.3546309024,0.0810122950,0.3821473574,0.4925423319,0.1937872951,0.2950156545,0.4982971504,-0.0477568371,-0.0051848074,-9142.2926785752
-2.6397361058,1.6773473736,8.4350569559,0.0799666417,0.3820883152,0.4922473155,0.1962936860,0.2978101016,0.5041223438,-0.0503573642,-0.0054943609,-9142.2032053489
-2.6925905919,1.7155396879,8.5151464203,0.0789218849,0.3820204020,0.4919535839,0.1988078466,0.3005905101,0.5099566947,-0.0530672962,-0.0058177572,-9142.1127542724
-2.7458193134,1.7541739005,8.5948976424,0.0778780630,0.3819436386,0.4916611394,0.2013297475,0.3033567449,0.5158002187,-0.0558898508,-0.0061553689,-9142.0213253456
-2.7994165753,1.7932498441,8.6743090303,0.0768352144,0.3818580460,0.4913699842,0.2038593581,0.3061086714,0.5216529295,-0.0588282961,-0.0065075675,-9141.9289185683
-2.8533766502,1.8327673313,8.7533790540,0.0757933775,0.3817636456,0.4910801201,0.2063966465,0.3088461553,0.5275148391,-0.0618859498,-0.0068747227,-9141.8355339407
-2.9076937795,1.8727261546,8.8321062450,0.0747525902,0.3816604594,0.4907915486,0.2089415798,0.3115690628,0.5333859572,-0.0650661797,-0.0072572020,-9141.7411714626
-2.9623621733,1.9131260869,8.9104891970,0.0737128906,0.3815485095,0.4905042711,0.2114941236,0.3142772605,0.5392662917,-0.0683724026,-0.0076553697,-9141.6458311341
-3.0173760121,1.9539668813,8.9885265660,0.0726743163,0.3814278187,0.4902182886,0.2140542423,0.3169706156,0.5451558487,-0.0718080845,-0.0080695870,-9141.5495129550
-3.0727294467,1.9952482715,9.0662170706,0.0716369049,0.3812984099,0.4899336019,0.2166218992,0.3196489957,0.5510546320,-0.0753767404,-0.0085002104,-9141.4522169255
-3.1284165996,2.0369699719,9.1435594921,0.0706006940,0.3811603066,0.4896502113,0.2191970561,0.3223122688,0.5569626434,-0.0790819337,-0.0089475919,-9141.3539430454
-3.1844315651,2.0791316778,9.2205526745,0.0695657207,0.3810135326,0.4893681173,0.2217796735,0.3249603035,0.5628798829,-0.0829272759,-0.0094120779,-9141.2546913147
-3.2407684105,2.1217330655,9.2971955252,0.0685320223,0.3808581120,0.4890873197,0.2243697105,0.3275929691,0.5688063481,-0.0869164262,-0.0098940086,-9141.1544617334
-3.2974211767,2.1647737925,9.3734870146,0.0674996355,0.3806940694,0.4888078182,0.2269671248,0.3302101352,0.5747420348,-0.0910530914,-0.0103937170,-9141.0532543015
-3.3543838785,2.2082534975,9.4494261765,0.0664685972,0.3805214297,0.4885296123,0.2295718727,0.3328116721,0.5806869363,-0.0953410252,-0.0109115288,-9140.9510690189
-3.4116505063,2.2521718009,9.5250121083,0.0654389440,0.3803402183,0.4882527012,0.2321839092,0.3353974507,0.5866410443,-0.0997840280,-0.0114477611,-9140.8479058856
-3.4692150259,2.2965283044,9.6002439709,0.0644107124,0.3801504608,0.4879770838,0.2348031875,0.3379673423,0.5926043478,-0.1043859464,-0.0120027218,-9140.7437649016
-3.5270713797,2.3413225918,9.6751209891,0.0633839386,0.3799521832,0.4877027587,0.2374296597,0.3405212191,0.5985768339,-0.1091506724,-0.0125767092,-9140.6386460667
-3.5852134872,2.3865542285,9.7496424512,0.0623586586,0.3797454119,0.4874297244,0.2400632761,0.3430589539,0.6045584876,-0.1140821435,-0.0131700106,-9140.5325493811
-3.6436352461,2.4322227621,9.8238077097,0.0613349085,0.3795301737,0.4871579790,0.2427039857,0.3455804199,0.6105492914,-0.1191843421,-0.0137829018,-9140.4254748447
-3.7023305326,2.4783277222,9.8976161807,0.0603127239,0.3793064957,0.4868875205,0.2453517356,0.3480854913,0.6165492258,-0.1244612944,-0.0144156464,-9140.3174224574
-3.7612932024,2.5248686208,9.9710673445,0.0592921404,0.3790744054,0.4866183464,0.2480064716,0.3505740427,0.6225582690,-0.1299170708,-0.0150684950,-9140.2083922192
-3.8205170916,2.5718449524,10.0441607452,0.0582731935,0.3788339305,0.4863504543,0.2506681378,0.3530459498,0.6285763969,-0.1355557846,-0.0157416841,-9140.0983841301
-3.8799960169,2.6192561937,10.1168959910,0.0572559183,0.3785850993,0.4860838413,0.2533366768,0.3555010886,0.6346035830,-0.1413815917,-0.0164354355,-9139.9873981900
-3.9397237768,2.6671018043,10.1892727542,0.0562403498,0.3783279404,0.4858185043,0.2560120293,0.3579393361,0.6406397988,-0.1473986902,-0.0171499554,-9139.8754343989
-3.9996941523,2.7153812265,10.2612907709,0.0552265230,0.3780624824,0.4855544399,0.2586941346,0.3603605701,0.6466850131,-0.1536113194,-0.0178854334,-9139.7624927567
-4.0599009075,2.7640938853,10.3329498411,0.0542144724,0.3777887547,0.4852916447,0.2613829301,0.3627646690,0.6527391927,-0.1600237598,-0.0186420419,-9139.6485732635
-4.1203377902,2.8132391890,10.4042498290,0.0532042327,0.3775067869,0.4850301148,0.2640783518,0.3651515122,0.6588023018,-0.1666403318,-0.0194199350,-9139.5336759192
-4.1809985331,2.8628165285,10.4751906624,0.0521958380,0.3772166087,0.4847698462,0.2667803335,0.3675209799,0.6648743025,-0.1734653954,-0.0202192480,-9139.4178007238
-4.2418768540,2.9128252783,10.5457723328,0.0511893226,0.3769182504,0.4845108346,0.2694888078,0.3698729530,0.6709551542,-0.1805033495,-0.0210400958,-9139.3009476772
-4.3029664570,2.9632647959,10.6159948957,0.0501847204,0.3766117425,0.4842530755,0.2722037051,0.3722073134,0.6770448142,-0.1877586314,-0.0218825728,-9139.1831167793
-4.3642610329,3.0141344222,10.6858584699,0.0491820651,0.3762971160,0.4839965641,0.2749249542,0.3745239439,0.6831432372,-0.1952357156,-0.0227467517,-9139.0643080303
-4.4257542601,3.0654334816,10.7553632379,0.0481813903,0.3759744020,0.4837412956,0.2776524823,0.3768227281,0.6892503756,-0.2029391136,-0.0236326824,-9138.9445214299
-4.4874398053,3.1171612819,10.8245094452,0.0471827294,0.3756436321,0.4834872647,0.2803862144,0.3791035507,0.6953661793,-0.2108733730,-0.0245403914,-9138.8237569782
-4.5493113242,3.1693171147,10.8932974010,0.0461861156,0.3753048381,0.4832344659,0.2831260741,0.3813662971,0.7014905958,-0.2190430766,-0.0254698809,-9138.7020146752
-4.6113624622,3.2219002550,10.9617274771,0.0451915819,0.3749580521,0.4829828937,0.2858719828,0.3836108540,0.7076235702,-0.2274528419,-0.0264211277,-9138.5792945208
-4.6735868553,3.2749099618,11.0298001084,0.0441991611,0.3746033067,0.4827325422,0.2886238602,0.3858371088,0.7137650450,-0.2361073200,-0.0273940825,-9138.4555965149
